Title;Original Title;Synopsis;Genre;Release Date
O Senhor dos Anéis: A Sociedade do Anel;The Lord of the Rings: The Fellowship of the Ring;Em uma terra fantástica e única, um hobbit recebe de presente de seu tio um anel mágico e maligno que precisa ser destruído antes que caia nas mãos do mal. Para isso, o hobbit Frodo tem um caminho árduo pela frente, onde encontra perigo, medo e seres bizarros. Ao seu lado para o cumprimento desta jornada, ele aos poucos pode contar com outros hobbits, um elfo, um anão, dois humanos e um mago, totalizando nove pessoas que formam a Sociedade do Anel.;Ação,Aventura,Fantasia;2001-12-18
O Senhor dos Anéis: O Retorno do Rei;The Lord of the Rings: The Return of the King;O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por Theoden em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso, Frodo, Sam e Gollum seguem sua viagem rumo à Montanha da Perdição para destruir o anel.;Ação,Aventura,Fantasia;2003-12-01
O Senhor dos Anéis: As Duas Torres;The Lord of the Rings: The Two Towers;Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.;Ação,Aventura,Fantasia;2002-12-18
O Senhor dos Anéis;The Lord of the Rings;Na terra pacífica do Condado, um Hobbit chamado Frodo Bolseiro recebe do seu tio um Anel mágico, capaz de decidir o futuro da Terra-Média. Assim Frodo terá de embarcar numa jornada épica para destruir o Anel, antes que o senhor do escuro Sauron possa recuperar-la.;Aventura,Animação,Fantasia;1978-11-15
Azul É A Cor Mais Quente;La Vie d'Adèle - Chapitres 1 et 2;Adèle é uma garota de 15 anos que descobre, na cor azul dos cabelos de Emma, sua primeira paixão por outra mulher. Sem poder revelar a ninguém seus desejos, ela se entrega por completo a este amor secreto, enquanto trava uma guerra com sua família e com a moral vigente.;Drama,Romance;2013-10-09
Ela é Demais para Mim;She's Out of My League;Kirk (Jay Baruchel) era motivo de piada entre os amigos quando o assunto era mulher. Até que um dia, sem querer, ele conheceu Molly (Alice Eve) e aí, o que antes era somente uma feliz coincidência virou uma grande aventura amorosa, temperada com muito humor e zoação dos colegas. Afinal de contas, como uma gata nota 10 pode ficar com um cara nota 5?;Comédia,Romance;2010-03-11
Ela é Demais;She's All That;Zach Siler é o figurão da escola e motivo de inveja dos seus colegas. Porém, sua popularidade diminui drasticamente quando sua namorada, a animadora de torcida, Taylor o deixa pelo ator Brock Hudson. Desesperado para recuperar sua reputação, Siler concorda com um desafio aparentemente impossível. Ele terá seis semanas para ganhar a confiança da nerd Laney Boggs e ajudá-la a se tornar a próxima rainha do baile da escola.;Comédia,Romance;1999-01-29
Viva: A Vida é uma Festa;Coco;O aspirante a músico Miguel, deve lidar com sua família que desaprova seu sonho, acaba entrando na Terra dos Mortos para encontrar seu trisavô, um cantor lendário.;Aventura,Animação,Comédia,Família,Fantasia,Musical;2017-10-27
Boogeyman: Seu Medo é Real;The Boogeyman;Uma jovem de 16 anos e sua irmã mais nova ainda em luto pela morte da mãe, são alvo de uma criatura sobrenatural depois que o pai de ambas atende um paciente desesperado em casa.;Horror,Mistério,Suspense;2023-05-31
Zootopia: Essa Cidade é o Bicho;Zootopia;Judy Hopps é a pequena coelha de uma fazenda isolada, filha de agricultores que plantam cenouras há décadas. Mas ela tem sonhos maiores: pretende se mudar para a cidade grande, Zootopia, onde todas as espécies de animais convivem em harmonia, na intenção de se tornar a primeira coelha policial. Judy enfrenta o preconceito e as manipulações dos outros animais, mas conta com a ajuda inesperada da raposa Nick Wilde, conhecida por sua malícia e suas infrações. A inesperada dupla se dedica à busca de um animal desaparecido, descobrindo uma conspiração que afeta toda a cidade.;Aventura,Animação,Comédia,Família;2016-02-11
